	user	text	location	date
0	CryptoCompare	Not only is bitcoin outperforming altcoins (except #BNB) , but large cap altcoins are doing better than smaller cap… https://t.co/9p827BRZkY	London	2019-07-19 13:23:49
1	northnorfolknow	Perfectly located for exploring all that Norfolk has to offer. Orchard Cottage B&amp;B in village of Gressenhall is jus… https://t.co/n5fFAIifyt		2019-07-19 13:15:21
2	Alt_Cash	It pays to have friends! https://t.co/Qf8gtRZl5r #BNB #BNB #privacy	UK	2019-07-19 13:06:03
3	quadency	"#Binance adds #EOS, #BNB and #LINK to margin trading coins 

The maximum borrowing limit for Binance Coin is set at… https://t.co/eFTIzMO5TB"	New York, NY	2019-07-19 13:00:54
4	coinstats	"BinanceCoin - BNB
Price: $28.93
Change in 1h: +0.29%
Market cap: $4,500,202,547.00
Ranking: 6
#BinanceCoin #BNB"	Blockchain	2019-07-19 13:00:27
5	bnbtoken	"ℹBNB Market Updateℹ
💰 Price [USD]: $29.07
⚡ Price [BTC]: 0.00276
📈 1h: 1.23%
🚀 24h: 4.76%
📊 Volume: $459,739,659
💎… https://t.co/Vk9gXDKViI"	Moon	2019-07-19 13:00:07
6	bnbtoken	"ℹBinance Exchange Infoℹ
💰 BNB Price [USD]: $29.07
📊 Trading Volume [24h]: $2,234,549,309
💥 Active Tradingpairs: 522… https://t.co/YkDWheBa4a"	Moon	2019-07-19 13:00:01
7	BluebirdDonna	After years of trying to entice these guys to nest on our acreage, we finally have a pair in an old bluebird box.… https://t.co/cneNcHPIP5	Midland, Ontario	2019-07-19 12:52:48
8	BraveNewCryptos	29? BUDDY! My target is 40$ before the year ends! @cz_binance #BNB #MoneyTeam https://t.co/zWl3lNxWFL	Palma, Spain	2019-07-19 12:51:11
9	farrukhm2010	"Stop calling #cryptocurrencies  a tool of money laundering.
#cryptocurreny
#bitcoin #BNB https://t.co/McmvTz24KX"	Islamabad, Pakistan	2019-07-19 12:48:53
10	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$EOS - 4.01 $    (+0.78 %)
$ADA - 0.06 $    (+0.7 %)
$ETC - 5.83 $    (+2.24 %)… https://t.co/VSX5Rk6MXU"		2019-07-19 12:45:24
11	Allen_Taylor	#Binance burns $23.8M in #BNB. #Bitcoin approaches a 7-year trend line. https://t.co/G7kV4n4V9o #cryptocurrency… https://t.co/fakawkef4W	Adams County, Pennsylvania	2019-07-19 12:45:06
12	webnowcompany	#BTC #DTA #BNB Bitcoin continues to see dwindling price after surging yesterday owing to a Chinese court’s verdict… https://t.co/nUW95yJd8L	USA	2019-07-19 12:42:59
13	WhatsOnInOxford	"#Summer in #Oxford book your #Hotel or #BnB now!

https://t.co/jIU5z8lTff"	Oxford, England	2019-07-19 12:42:55
14	CryptoPaul15	Here are the coins i would love to see on @SpendCard .....@FantomFDN #FTM @holochain @H_O_L_O_ $hot. @telcoin_team… https://t.co/Z0f5cjZJRk	United states	2019-07-19 12:38:27
15	CoinoMonitor	Top12 from big coins: #BTC 1.6%, #TRX 1.02%, #BSV 0.85%, #BCH 0.82%, #BNB 0.78%, #ETH 0.73%, #XRP 0.72%, #XRP 0.59%… https://t.co/krRpHmxGuz		2019-07-19 12:33:01
16	pauloepis	"Minuto Bitcoin - 19/07/2019 - BTC U$$10.500

YOUTUBE - Canal Minuto Bitcoin
https://t.co/2lgJ3AldcC

#btc #bitcoin… https://t.co/WG9XMbZOzj"		2019-07-19 12:29:15
17	qiibee	"1’450 BNB &amp; 6’300’000 QBX to give away! 🚀 
What are you waiting for? Get ready for the trading contest!! 😎… https://t.co/6QuwzwOVXt"	Zug, Switzerland	2019-07-19 12:25:43
18	Paul25290859	"""If we are not ashamed to think it, we should not be ashamed to say it"" yah feel me? 🙃
if you want the truth. Ask R… https://t.co/QZLFN0DEsK"		2019-07-19 12:09:18
19	coinstats	"BinanceCoin - BNB
Price: $28.91
Change in 1h: -0.26%
Market cap: $4,496,069,796.00
Ranking: 6
#BinanceCoin #BNB"	Blockchain	2019-07-19 12:00:27
20	madurahd	"start hodl #dent . Accum/Dist and ASI charts are very bullish guys :)

#dent $dent #bnb #binance #bitcoin $btc… https://t.co/fwLL8U3GaX"		2019-07-19 11:48:12
21	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$EOS - 3.98 $    (-1.05 %)
$ADA - 0.06 $    (-0.56 %)
$ETC - 5.7 $     (-0.83 %… https://t.co/5LtxL3SUZG"		2019-07-19 11:45:11
22	coinpencil	"Feel the #Crypto #Bullrun #Tshirt at Amazon!
White Color &amp; more
Get it here:
https://t.co/mPiLBmkIuB

#CryptoNews… https://t.co/ORCHytIdOe"		2019-07-19 11:45:00
23	dalykl1x	"Coin prediction:
Coin: $BNB
Market: Binance
Max price: 0.00278800
Stop loss: 0.00230000 
Targets: 0.00299990 | 0.00… https://t.co/TDX21O9gwG"	Tunisia	2019-07-19 11:39:31
24	Burzumel1	"A lesson to predict the future with A।ΞVE!!

▶️https://t.co/jBifP1IBzW

#peculium $pcl #pcl #AI #aieve #win #forex… https://t.co/hocDTwivUe"		2019-07-19 11:34:13
25	madurahd	"start hodl #dent . will see can double money ;)

#dent $dent #bnb #binance #bitcoin $btc #elrond $erd $elrond https://t.co/ZQvSSZ6FBN"		2019-07-19 11:32:58
26	GJJCircle	Use my referral link https://t.co/jXztJO2H9v to sign up for https://t.co/quTJxgN8Wm and we both get $50 USD :) #mco… https://t.co/2m9lLFdb6e		2019-07-19 11:05:21
27	coinstats	"BinanceCoin - BNB
Price: $28.96
Change in 1h: -0.44%
Market cap: $4,503,911,481.00
Ranking: 6
#BinanceCoin #BNB"	Blockchain	2019-07-19 11:00:32
28	saselmo	"#BNB signal to place buy bids was given on 29th of June after that its dumped to 24192 satoshi and now hit 30295.
2… https://t.co/KucPhLEVAu"		2019-07-19 10:58:03
29	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$EOS - 4.02 $    (+0.46 %)
$ADA - 0.06 $    (0.0 %)
$ETC - 5.75 $    (-0.18 %)… https://t.co/SnvBFFNzHh"		2019-07-19 10:44:58
30	Crypto____World	"Everyone in Crypto wants Mass Adoption.
But does every coin have what it takes to get there?
#apollocurrency is Now… https://t.co/P6xNmJ133K"		2019-07-19 10:41:40
31	CoinRivet	Binance Coin (BNB) is currently trading at around $29 following some consolidation after a major decline last week!… https://t.co/Nvsbp3acAS	London, England	2019-07-19 10:31:23
32	Cryptokoala_Aus	So we long on #BNB then CZ, is that  what your telling us 😉 https://t.co/hYjR95vRv7	Australia	2019-07-19 10:18:58
33	webnowcompany	#BTC #BNB One of the most advanced ways of buying goods nowadays is with a little thing called cryptocurrency. Sinc… https://t.co/bK7hoZyo0g	USA	2019-07-19 10:12:37
34	coinstats	"BinanceCoin - BNB
Price: $29.04
Change in 1h: -0.37%
Market cap: $4,517,212,075.00
Ranking: 6
#BinanceCoin #BNB"	Blockchain	2019-07-19 10:00:27
35	bnbtoken	"ℹBNB Market Updateℹ
💰 Price [USD]: $29.11
⚡ Price [BTC]: 0.00280
📉 1h: -0.42%
📈 24h: 1.86%
📊 Volume: $507,810,789
💎… https://t.co/I76rjztLxm"	Moon	2019-07-19 10:00:08
36	Cryptopatel	"#BNBUSD I am extremely bullish for next 6 month.
My Target $100-$150 for First Quarter 2020. (Q1)
#BNB Bought and b… https://t.co/7mSyVjvZYA"	Earth	2019-07-19 09:52:10
37	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$EOS - 4.0 $     (+0.13 %)
$ADA - 0.06 $    (-0.1 %)
$ETC - 5.76 $    (+0.19 %)… https://t.co/vPsoQqiBcl"		2019-07-19 09:44:45
38	CHalexov2016	Yeah with @binance thanks to @cz_binance and $bnb everything is so easy and nice! 🤝👍🏼 #bnb #binance… https://t.co/xnPUVXldb8		2019-07-19 09:40:56
39	CHalexov2016	Yeah with @binance thanks to @cz_binance and $bnb everything is so easy and nice! 🤝👍🏼 #bnb #binance… https://t.co/AXW5kVLJXT		2019-07-19 09:37:58
40	ArtL13	I saw technical analysis that says we are repeating 2017 history pump!Exactly the same corrections and grows like b… https://t.co/04hpAT5QAo	Israel, Eilat	2019-07-19 09:35:37
41	Woodsy1983	Waiting is tough, but perfection is worth waiting for and believe me it's will be worth waiting for.  Couple more a… https://t.co/ocZGQvVPR0	Wales, United Kingdom	2019-07-19 09:29:25
42	Cryptopatel	"Are you know about GAP..?
If Yes tell me Which GAP feel First.
$8515 or $11195
And one more thing both GAP will fil… https://t.co/eOV0AJnUlp"	Earth	2019-07-19 09:21:27
43	GannMarkets	"Values of the highest market cap 10 Cryptocurrencies :
1. #btc $10380
2. #eth $218.617
3. #xrp $0.31723154
4. #ltc… https://t.co/9xxZxI21xt"		2019-07-19 09:05:05
44	CryptoCholera	@cz_binance You are openly trying to influence the market. Be careful once you've opened shop in the US. The SEC wi… https://t.co/uecl4T3G2L	Decentraland	2019-07-19 09:04:10
45	CoinCapsAi	"#binance #fixes the #circulating #supply for #binance #coin, #bnb #price #shoots #5% 
#instabitcoin #bitcoin #ico… https://t.co/xh0kTDXyLg"	The World	2019-07-19 09:04:02
46	coinstats	"BinanceCoin - BNB
Price: $29.02
Change in 1h: -1.72%
Market cap: $4,514,439,560.00
Ranking: 6
#BinanceCoin #BNB"	Blockchain	2019-07-19 09:00:27
47	webnowcompany	#BNB #DTA Binance CEO Changpeng Zhao assured that they have solved the issue with BNB's circulating supply. The Bin… https://t.co/tHJ9NMReZH	USA	2019-07-19 08:54:41
48	coinspeaker	"Binance Fixes the Circulating Supply for Binance Coin, BNB Price Shoots 5%
https://t.co/eSfo8ztpRB
#binance #bnb… https://t.co/A27DTAPZQv"	Malta	2019-07-19 08:45:03
49	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$EOS - 4.0 $     (-0.5 %)
$ADA - 0.06 $    (-0.23 %)
$ETC - 5.75 $    (-0.05 %)… https://t.co/EEJtGw5h2F"		2019-07-19 08:44:32
50	coinspeaker	"Binance Updates IEO Rules on Its Launchpad
https://t.co/4W7zUvKijI
#binance #bnb #bnbprice https://t.co/Eo6ctqISZ8"	Malta	2019-07-19 08:38:48
51	yesillhavesome	"Do you think #BTR @BitrueOfficial will do a #BNB @binance &amp; grow 550% by EOY 2019? 🤷‍♂️🤷‍♀️
@Curis_Wang @cz_binance… https://t.co/jBxrLzGwWl"	Moon, PA	2019-07-19 08:35:37
52	CoinoMonitor	Top12 from big coins: #BSV 1.58%, #BNB 1.26%, #XRP 0.72%, #USDT 0.61%, #LTC 0.52%, #TRX 0.47%, #EOS 0.44%, #XLM 0.3… https://t.co/sWc7I90Dgj		2019-07-19 08:33:01
53	Alt_Cash	It pays to have friends! https://t.co/Qf8gtRZl5r #BNB #invite #exchange	UK	2019-07-19 08:19:02
54	AltanLevent	"$BNB #BNBUSDT #Chart
Ready for new #IEO's. #Inverse #HS is progress. #Target is red box! 💯
📈📈📈 🚀🚀🚀 
#BNB is… https://t.co/EJcHxxlR88"		2019-07-19 08:17:24
55	WineOaks	#flashbackfriday to this gorgeous shot! Reserve one of our rooms at our #winterspecial rate - mail accommodation@un… https://t.co/SB307SLmK0		2019-07-19 08:10:36
56	CoinoMonitor	"Top growing coins at last 1h grouped by rank 
1-20: #EMPR 85.27%, #BNB 2.52%, #BSV 2.15%, #LINK 1.93%, #XLM 1.64%
2… https://t.co/12cQkKQL5k"		2019-07-19 08:05:04
57	CoinCapsAi	"#binance #coin #[bnb] #price #analysis: #bnb #hammers at #$30: #cryptos hit the #pause #button 
#instacrypto… https://t.co/ULgnwCxV6E"	The World	2019-07-19 08:02:02
58	coinstats	"BinanceCoin - BNB
Price: $29.59
Change in 1h: +2.05%
Market cap: $4,602,760,517.00
Ranking: 6
#BinanceCoin #BNB"	Blockchain	2019-07-19 08:00:27
59	bnbtoken	"ℹBinance Exchange Infoℹ
💰 BNB Price [USD]: $29.54
📊 Trading Volume [24h]: $2,265,897,805
💥 Active Tradingpairs: 522… https://t.co/HDtof8AZHG"	Moon	2019-07-19 08:00:01
60	1CryptoGod	@equaltoken @Binance_DEX @WalletConnect I love to use equal for binance dex. Its so simple to use with wallet conne… https://t.co/AyGaXlsbyu	Deutschland	2019-07-19 07:54:43
61	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$EOS - 4.02 $    (-0.28 %)
$ADA - 0.06 $    (-0.48 %)
$ETC - 5.75 $    (+0.42 %… https://t.co/I3xnXxgW7i"		2019-07-19 07:44:19
62	ARafayGadit	Hello #BNB, do something! We need #IEO announcement, just about now.. please? 😂 https://t.co/amn4oJ6HVS	Karachi, Pakistan	2019-07-19 07:26:47
63	YottaMatrix	"Current Price Of:
#BTC: $10529.4558564
#BCH: $311.128914874
#BNB: $29.1343707906
#TRX: $0.0254184359
#BTT: $0.0009589286"	Malta	2019-07-19 07:25:51
64	247BidsHQ	"CZABA34 won 2,000 $EUNO for just $6.80!  
  
https://t.co/4SOqteEQRi  
  
Want to be a winner?  
  
Come try your l… https://t.co/Fr7jAUkPgA"		2019-07-19 07:25:09
65	Bitcoinikdotcom	"China Declare Bitcoin as Legal Commodity Price Spikes More than $1000 in an Hour

https://t.co/rfslfjJujp… https://t.co/JZ2i047ufq"	Worldwide	2019-07-19 07:20:01
66	YottaMatrix	"Current Price Of:
#BTC: $10488.0054484
#BCH: $310.478562796
#BNB: $29.0687071837
#TRX: $0.0252737465
#BTT: $0.0009529655"	Malta	2019-07-19 07:15:54
67	crypto__mak	Binance Coin [BNB] Price Analysis: BNB Hammers at $30: Cryptos Hit the Pause Button https://t.co/FcGenxwKfC… https://t.co/hrtxuUBaRZ	United Kingdom	2019-07-19 07:08:37
68	CoinoMonitor	"Top growing coins at last 1h grouped by rank 
1-20: #EMPR 85.27%, #XRP 0.72%, #USDT 0.14%, #BNB -0.01%, #XLM -0.04%… https://t.co/ofa50dCCTf"		2019-07-19 07:05:04
69	bitcoinagile	Binance Updates IEO Rules on Its Launchpad  Coinspeaker #blockchain #bitcoin #crypto #binance #binancecoin… https://t.co/VZKuYRJSjU	Matter Doesn't Matter	2019-07-19 07:02:43
70	haroldo44505601	Tom Lee Is Afraid Trump will Institute a Bitcoin Ban https://t.co/TT0gXNOZX6 #TRUMP thinks bitcoin is fake money… https://t.co/1k3uDyVjIz	Los Angeles, CA	2019-07-19 07:01:55
71	ADRTrading	#Trade #cryptocurrency with the ADR Trading Group 👨🏻‍💻 https://t.co/9IMfaEglP4 👩🏼‍💻 Make an informed decision and p… https://t.co/cSc5073FhO	London, England	2019-07-19 07:01:12
72	coinstats	"BinanceCoin - BNB
Price: $29.02
Change in 1h: +0.05%
Market cap: $4,513,040,604.00
Ranking: 6
#BinanceCoin #BNB"	Blockchain	2019-07-19 07:00:27
73	bnbtoken	"ℹBNB Market Updateℹ
💰 Price [USD]: $29.10
⚡ Price [BTC]: 0.00277
📈 1h: 0.11%
🚀 24h: 2.33%
📊 Volume: $508,311,652
💎… https://t.co/3slGdFBku4"	Moon	2019-07-19 07:00:08
74	MaxLeongCom	@justinsuntron @WarrenBuffett Please ask: #BNB &amp; #TRX which one do you like the most? 😁		2019-07-19 06:58:20
