	user	text	location	date
0	CashTechNews	Coinbase Drops Its Crypto Bundle Product Without Any Explanation #coinbase #bitcoin #bitcoincash #bch #btc https://t.co/bmVlEEasUD	New York, NY	2019-07-19 10:12:04
1	bch_price	"Price of 1 BCH to USD: $307.53 (Change: +0.41 %)
Price of 1 BCH to BTC: 0.02965188 Ƀ (Change: +0.21 %)
#bitcoincash #bch $bch"	Bulgaria	2019-07-19 10:02:03
2	dailycoinfo	New Bitcoin Cash (BCH) Price is $314.12 USD #BitcoinCash #BCH #DailyCoin https://t.co/cTdq5WxN8C	World	2019-07-19 10:00:43
3	coinstats	"BitcoinCash - BCH
Price: $307.49
Change in 1h: +0.39%
Market cap: $5,503,924,846.00
Ranking: 5
#BitcoinCash #BCH"	Blockchain	2019-07-19 10:00:22
4	webnowcompany	#BTC #ETH #BCH #ETC The U.S. cryptocurrency trading platform has quietly shut down Coinbase Bundle....Read more: https://t.co/g9XeMGHeEc	USA	2019-07-19 09:58:13
5	Username_Bart	"Over the last 3 months #BitcoinSV leads the way

#Bitcoin #BTC #BCH #BSV https://t.co/qRQYrdJxu5"	Bartsville	2019-07-19 09:47:04
6	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10353.22 $ (+0.1 %)
$ETH - 218.67 $   (-0.02 %)
$XRP - 0.31 $     (-0.08… https://t.co/eUOJrzYYmx"		2019-07-19 09:44:48
7	cryptosUSD	"🔄 Prices update in $USD (1 hour):

$BTC   - 10397.5 $   (+0.1 %) 
$ETH   - 219.39 $    (+0.17 %)
$XRP   - 0.31 $… https://t.co/Z3ZdVJYpl0"		2019-07-19 09:44:38
8	BittrexPrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10380.7 $    (+0.36 %)
$ETH - 218.5 $      (-0.1 %)
$XRP - 0.31 $… https://t.co/d2JWdkTTPI"		2019-07-19 09:44:38
9	btcscal	"Going up signal on a 5 minutes chart!
#bitcoin #bitcoincash #ripple #ethereum #ethereumclassic #zcash #monero #btc… https://t.co/hS6rYO34H5"		2019-07-19 09:41:11
10	CurrencyNews	China Ruling Bitcoin is Property Again Is ‘Major Milestone,’ Says Investor - Cointelegraph #BlockchainNews… https://t.co/so5NSRIZ4r	London, England	2019-07-19 09:27:13
11	CurrencyNews	The Next Web: Coinbase quietly kills its loss-making cryptocurrency investment packages #BCH #QASH #XRP #Ethereum… https://t.co/zL6p1ThumQ	London, England	2019-07-19 09:27:13
12	CurrencyNews	Warren Buffett Lost $209 Million By Investing in Amazon Instead of Bitcoin #Cryptocurrencynews #BLockchain… https://t.co/gOnGE4V3Po	London, England	2019-07-19 09:27:11
13	aWebAnalysis	"Bitcoin Cash BCH Current Price:
$305.62
1 Hour: -2.32 % | 24 Hours: 2.63 % | 7 Days: -12.75 %
#bch #bitcoin cash"	New York, NY	2019-07-19 09:17:04
14	lunomoney	"The newest member of our Luno exchange will be arriving in the next few weeks 🚀

Check out why we’ve decided to add… https://t.co/sW5FRf2Shs"		2019-07-19 09:12:01
15	crpg15	Training time for the early accreditation 👍 #Finance  #business #PCH #BCH https://t.co/BZ78dosvTJ	Wokingham	2019-07-19 09:11:01
16	webnowcompany	#BTC #BCH #EOS #DCT #XRP #ETH This week was mostly bearish, with strong downward moves in bitcoin and altcoins. Rec… https://t.co/QpWtQ0AIHd	USA	2019-07-19 09:08:17
17	GannMarkets	"Values of the highest market cap 10 Cryptocurrencies :
1. #btc $10380
2. #eth $218.617
3. #xrp $0.31723154
4. #ltc… https://t.co/9xxZxI21xt"		2019-07-19 09:05:05
18	bch_price	"Price of 1 BCH to USD: $306.28 (Change: -1.9 %)
Price of 1 BCH to BTC: 0.02958985 Ƀ (Change: +0.84 %)
#bitcoincash #bch $bch"	Bulgaria	2019-07-19 09:01:36
19	coinstats	"BitcoinCash - BCH
Price: $305.63
Change in 1h: -2.06%
Market cap: $5,470,758,746.00
Ranking: 5
#BitcoinCash #BCH"	Blockchain	2019-07-19 09:00:22
20	cryptocoinfan	#SEC Begins Green-Lighting Token Offerings https://t.co/zNk3sK4owb via @BTCTN #BCH #btc #crypto	EU	2019-07-19 08:53:23
21	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10342.7 $ (-0.93 %)
$ETH - 218.71 $  (-1.22 %)
$XRP - 0.31 $    (-0.84 %… https://t.co/tBoUHnLUbH"		2019-07-19 08:44:36
22	cryptosUSD	"🔄 Prices update in $USD (1 hour):

$BTC   - 10386.7 $   (-0.98 %)
$ETH   - 219.01 $    (-1.44 %)
$XRP   - 0.32 $… https://t.co/gkus2ychov"		2019-07-19 08:44:26
23	BittrexPrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10343.16 $   (-0.88 %)
$ETH - 218.71 $     (-1.27 %)
$XRP - 0.31 $… https://t.co/Hm5FCBlR0b"		2019-07-19 08:44:25
24	webnowcompany	#BTC #ETH #BCH #LTC Further to shutting down its cryptocurrency index fund, Coinbase has seemingly closed its “Bund… https://t.co/w6Jl0i8BOl	USA	2019-07-19 08:37:49
25	webnowcompany	#BTC #BCH Bitcoin has had a tough week. The price of the world’s biggest cryptocurrency was as late as Thursday bel… https://t.co/so8INq72Q0	USA	2019-07-19 08:36:17
26	coinpricenow	"1 Bitcoin ( #BTC )
Dollar: 10,400.38$ 

1 Bitcoin Cash ( #BCH )
Dollar: 3,05.20$ 

1 Ethereum ( #ETH )
Dollar: 219.… https://t.co/nay1qmZJTI"		2019-07-19 08:29:38
27	BlockchainZA	The legal battles between competing #bitcoins grow more complex each day. Is #CraigWright the #Realtoshi? The #BSV… https://t.co/0qVv2PcZhT	South Africa	2019-07-19 08:25:16
28	aWebAnalysis	"Bitcoin Cash BCH Current Price:
$313.89
1 Hour: 0.94 % | 24 Hours: 5.17 % | 7 Days: -10.33 %
#bch #bitcoin cash"	New York, NY	2019-07-19 08:17:03
29	CurrencyNews	Bitcoin Price Jumps $1,000 in Sudden Spike Beyond $10,000; What’s Next? #BlockchainNews #QASH #BCH #ETH… https://t.co/bzxbYpBV1W	London, England	2019-07-19 08:06:10
30	bch_price	"Price of 1 BCH to USD: $312.21 (Change: +0.22 %)
Price of 1 BCH to BTC: 0.02934441 Ƀ (Change: -1.15 %)
#bitcoincash #bch $bch"	Bulgaria	2019-07-19 08:02:10
31	coinstats	"BitcoinCash - BCH
Price: $311.85
Change in 1h: +0.14%
Market cap: $5,581,929,116.00
Ranking: 5
#BitcoinCash #BCH"	Blockchain	2019-07-19 08:00:22
32	webnowcompany	#BTC #BCH Smaller cryptocurrencies fall amidst the storm of controversy that has engulfed Facebook’s digital curren… https://t.co/MCwWJvF3f1	USA	2019-07-19 07:49:46
