	user	text	location	date
0	cryptonewslab	Litecoin Price Analysis: LTC Leads A https://t.co/AsbkzzrRD2 https://t.co/G9YvblnpG4		2019-07-19 01:03:16
1	CryptomaQ	"US Treasury Sec: We Don’t Want Bitcoin Becoming a “Swiss-Numbered Bank Account” https://t.co/ttIXVTlDTc 

#bitcoin… https://t.co/Uw2iozqUde"		2019-07-19 01:02:15
2	CoinCapsAi	"#crypto #firm #chief #accepts #invitation to #warren #buffett #lunch with #tron’s #justin #sun 
#instabitcoin… https://t.co/wxj0x0jblF"	The World	2019-07-19 01:00:59
3	litecoin_price_	"Price of 1 LTC to USD: $100.55 (Change: -0.6 %)
Price of 1 LTC to BTC: 0.00942818 Ƀ (Change: -0.78 %)
#litecoin #LTC $LTC"	Bulgaria	2019-07-19 01:00:52
4	CoinTigoDev	"@unamatematicas A deposit of

0.00597955 LTC
0.6 USD
has been made to:

 negromangueraa

available in 7 minutes https://t.co/gDTDUSrBOh"	.onion	2019-07-19 01:00:30
5	CryptoGulp	"Top 5 Cryptocurrencies Prices

⬆️ $BTC: $10,675.06 | Bitcoin +0.06%
🔻 $ETH: $225.56 | Ethereum -0.48%
🔻 $XRP: $0.32… https://t.co/kXQ2OkbJbk"	🌐	2019-07-19 01:00:20
6	coinalert_live	"#ORS - Rapid increase 1h: 11.9% V: 5.1M$ on https://t.co/yect2mrJfv 

Users are notified 1H ago via… https://t.co/rGhKBcM9X5"		2019-07-19 01:00:19
7	coinstats	"Litecoin - LTC
Price: $100.55
Change in 1h: -0.87%
Market cap: $6,306,888,980.00
Ranking: 4
#Litecoin #LTC"	Blockchain	2019-07-19 01:00:17
8	robostopia	"💰 Market Cap: $289,456,510,135
👊 BTC Dominance: 65.74%
1️⃣ BTC: $10,670.13 | 1H: -0.13%
2️⃣ ETH: $225.48 | 1H: -0.7… https://t.co/LbAgBvkpld"	World	2019-07-19 01:00:15
9	LTC_PRICE	Last litecoin price on bitstamp: $ 100.54		2019-07-19 01:00:09
10	AltcoinSherpa	$LTC $LTCUSD #Litecoin: Here are some levels for LTCUSD. Currently resting right under $100 which is a big psycholo… https://t.co/YbqcZlTf3c		2019-07-19 01:00:08
