	user	text	location	date
0	CashlessSocys	@AgentOrren @chainlinkmarket @Fac3less_Man And then the Chainlink fanboy stops commenting. 😂 I used to be an XRP ha… https://t.co/vCYtTMbibs	CA$HLESS SOCIETY	2019-07-19 00:59:49
1	Rob92608209	@JoChristianaire @Shahilacom @Rhythmtrader @BankXRP @LeoHadjiloizou 🤣 ok you enjoy the gains xrp is not giving no helping some people 🤦‍♂️	United Kingdom	2019-07-19 00:59:42
2	TickerTop	"1: Bitcoin average price is $10664.2064888 (-0.18% 1h)
2: Ethereum average price is $225.27022852 (-0.83% 1h)
3: XR… https://t.co/UgsrMYaCg8"	United States	2019-07-19 00:59:25
3	jasonclarktwit	"don't miss out on registering on Binance, before they close registrations again

 https://t.co/tmxmHXx53B

 $BTC… https://t.co/iJqqx80TOt"		2019-07-19 00:59:21
4	jasonclarktwit	this channel called $DGB before it made 6x. they only share high reward, low risk signals. join:… https://t.co/IRsRlPGcCA		2019-07-19 00:59:17
5	XRP_121	@MagicCryptoBal1 So I sell and then buy back right away?	USA	2019-07-19 00:58:55
6	PazzuCrypto	Former Ripple employee speaks out, XRP price doesn't reflect xRapid use | CryptoSlate https://t.co/03htpHNGdi	United States	2019-07-19 00:58:38
7	btc_update	"Bitcoin’s Not-So-Carbon-Friendly Footprint https://t.co/EhHWjJFwAs
#bitcoin #crypto #blockchain #btc #news… https://t.co/pWUbIqfD6T"		2019-07-19 00:58:05
8	DigitalNomadInv	"""They dare not say its name...and that makes me happy!""
LIVE in 5!
https://t.co/BJBBQIbZxN
#xrp #Ripple $XRP… https://t.co/X4QdYCEWho"	Today..Southeast Asia	2019-07-19 00:57:36
9	The_UNLEASHD	"💥💥💥BOOOOOOOOOM💥💥💥

MISSION ACCOMPLISHED!!!

HISTORY HAS BEEN MADE!!!
THE WORLD'S FIRST SHARD ON AN ACTIVE BLOCKCHAI… https://t.co/24iJrwtAho"	Gold Coast, Australia	2019-07-19 00:57:18
10	TheWolfofCrypt0	$XRP has been doing good against $BTC $USDT. Long to .$33 short to $.31 long to $.41 $.51 .$60.5 Target🎯🎯🎯	Salt Lake City, UT	2019-07-19 00:56:56
11	pthogy	@TrueCrypto28 RSR FTM DOGE (XRP) HOT REN MATIC - Death of major Alt BCH I Hope		2019-07-19 00:55:20
