	user	text	location	date
0	xbtusdBITCOIN	#USDT prints their own money. So I decided to print some bitcoin. Add 2 more #BTC TO total supply. Haha. Why buy… https://t.co/GCsgLUtHWm	California, USA	2019-07-19 21:17:49
1	GannMarkets	"Values of the highest market cap 10 Cryptocurrencies :
1. #btc $10560
2. #eth $220.836
3. #xrp $0.31949045
4. #ltc… https://t.co/iCGmBf8aXZ"		2019-07-19 21:05:07
2	coinstats	"Tether - USDT
Price: $1.00
Change in 1h: 0.0%
Market cap: $4,000,742,772.00
Ranking: 7
#Tether #USDT"	Blockchain	2019-07-19 21:00:33
3	CoinoMonitor	Top12 from big coins: #XLM 3%, #ADA 0.93%, #XRP 0.72%, #BSV 0.58%, #LTC 0.28%, #EOS 0.24%, #BTC 0.2%, #ETH 0.16%,… https://t.co/i0O70nLqpi		2019-07-19 20:33:01
4	KadaneZod	"@Cointelegraph Yes.
This is what will happen
https://t.co/Ojb7779ad9

Plus volatility.
Lots of it.
Anyone keen on s… https://t.co/087zL0DyUl"	Thailand / Australia	2019-07-19 20:12:14
5	coinstats	"Tether - USDT
Price: $1.00
Change in 1h: +0.13%
Market cap: $4,001,473,673.00
Ranking: 7
#Tether #USDT"	Blockchain	2019-07-19 20:00:32
6	Mhtgadgetbox	Crystal clear example- #USDT #GUSD https://t.co/gPhvtuCNYz	Kanpur, India	2019-07-19 19:20:22
7	coinstats	"Tether - USDT
Price: $1.00
Change in 1h: +0.1%
Market cap: $3,999,081,082.00
Ranking: 7
#Tether #USDT"	Blockchain	2019-07-19 19:00:37
8	CoinoMonitor	Top12 from big coins: #ADA 1.65%, #TRX 0.87%, #XLM 0.76%, #XRP 0.72%, #LTC 0.23%, #BNB 0.18%, #BCH 0.14%, #USDT -0%… https://t.co/xFoptJd50K		2019-07-19 18:33:01
9	webnowcompany	#USDT #BTC CFTC is probing whether BitMEX, a major crypto exchange, broke rules by allowing Americans to trade on i… https://t.co/FLF27JupX7	USA	2019-07-19 18:03:44
10	coinstats	"Tether - USDT
Price: $1.00
Change in 1h: +0.1%
Market cap: $3,998,312,996.00
Ranking: 7
#Tether #USDT"	Blockchain	2019-07-19 18:00:33
